ID,well,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI
1,F1,60.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0
2,F2,60.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0
3,F3,60.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325
4,F4,60.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325
5,F5,30.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0
6,F6,30.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0
7,F7,30.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325
8,F8,30.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325
9,F9,5.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0
10,F10,5.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0
11,F11,5.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325
12,F12,5.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325
