ID,well,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,Data Tag,Sample Tag,Dataset
1,F1,60.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0,N1 R0 60C,sample 1,"['N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 1_Subt2__0__12-25-40-737.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 1_Subt2__1__12-25-41-737.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 1_Subt2__2__12-25-42-737.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 1_Subt2__3__12-25-43-737.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 1_Subt2__4__12-25-44-737.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 1_Subt2__5__12-25-45-736.txt']"
2,F2,60.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0,N1 R0 60C,sample 2,"['N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 2_Subt2__0__12-26-44-236.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 2_Subt2__1__12-26-45-236.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 2_Subt2__2__12-26-46-236.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 2_Subt2__3__12-26-47-235.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 2_Subt2__4__12-26-48-238.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 2_Subt2__5__12-26-49-236.txt']"
3,F3,60.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325,N1 R0 60C,sample 3,"['N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 3_Subt2__0__12-27-19-733.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 3_Subt2__1__12-27-20-735.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 3_Subt2__2__12-27-21-735.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 3_Subt2__3__12-27-22-733.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 3_Subt2__4__12-27-23-734.txt']"
4,F4,60.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325,N1 R0 60C,sample 4,"['N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 4_Subt2__0__12-28-50-232.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 4_Subt2__1__12-28-51-232.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 4_Subt2__2__12-28-52-232.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 4_Subt2__3__12-28-53-234.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 4_Subt2__4__12-28-54-232.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 4_Subt2__5__12-28-55-232.txt']"
5,F5,30.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0,N1 R0 60C,sample 5,"['N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 5_Subt2__0__12-01-57-269.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 5_Subt2__1__12-01-58-269.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 5_Subt2__2__12-01-59-269.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 5_Subt2__3__12-02-00-269.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 5_Subt2__4__12-02-01-265.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 5_Subt2__5__12-02-02-268.txt']"
6,F6,30.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0,N1 R0 60C,sample 6,"['N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 6_Subt2__0__11-59-59-271.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 6_Subt2__1__12-00-00-271.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 6_Subt2__2__12-00-01-271.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 6_Subt2__3__12-00-02-271.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 6_Subt2__4__12-00-03-271.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 6_Subt2__5__12-00-04-271.txt']"
7,F7,30.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325,N1 R0 60C,sample 7,"['N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 7_Subt2__0__11-58-42-273.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 7_Subt2__1__11-58-43-271.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 7_Subt2__2__11-58-44-273.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 7_Subt2__3__11-58-45-273.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 7_Subt2__4__11-58-46-273.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 7_Subt2__5__11-58-47-274.txt']"
8,F8,30.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325,N1 R0 60C,sample 8,"['N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 8_Subt2__0__11-59-10-772.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 8_Subt2__1__11-59-11-772.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 8_Subt2__2__11-59-12-772.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 8_Subt2__3__11-59-13-772.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 8_Subt2__4__11-59-14-774.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 8_Subt2__5__11-59-15-772.txt']"
9,F9,5.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0,N1 R0 60C,sample 9,"['N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 9_Subt2__0__11-34-26-305.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 9_Subt2__1__11-34-27-305.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 9_Subt2__2__11-34-28-305.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 9_Subt2__3__11-34-29-306.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 9_Subt2__4__11-34-30-305.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 9_Subt2__5__11-34-31-305.txt']"
10,F10,5.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0,N1 R0 60C,sample 10,"['N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 10_Subt2__0__11-35-42-304.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 10_Subt2__1__11-35-43-304.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 10_Subt2__2__11-35-44-304.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 10_Subt2__3__11-35-45-304.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 10_Subt2__4__11-35-45-814.txt', 'N1_Sep/Data/20250916_N1N3_60C/N1 R0 60C sample 10_Subt2__5__11-35-46-804.txt']"
