ID,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,well,Data Tag,Sample Tag,Dataset
1,60.0,150.0,50.42,123.53,126.05,1.0,2.45,2.5,B1,N1 R2,sample 1,"['N1_Sep/Data/20250917_N1R2/N1 R2 sample 1_Subt2__0__13-51-00-681.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 1_Subt2__1__13-51-01-675.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 1_Subt2__2__13-51-02-681.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 1_Subt2__3__13-51-03-681.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 1_Subt2__4__13-51-04-677.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 1_Subt2__5__13-51-05-681.txt']"
2,60.0,150.0,50.42,123.53,126.05,1.0,2.45,2.5,B2,N1 R2,sample 2,"['N1_Sep/Data/20250917_N1R2/N1 R2 sample 2_Subt2__0__13-51-39-673.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 2_Subt2__1__13-51-40-680.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 2_Subt2__2__13-51-41-680.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 2_Subt2__3__13-51-42-681.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 2_Subt2__4__13-51-43-195.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 2_Subt2__5__13-51-44-180.txt']"
3,60.0,150.0,51.02,121.43,127.55,1.0,2.38,2.5,B3,N1 R2,sample 3,"['N1_Sep/Data/20250917_N1R2/N1 R2 sample 3_Subt2__0__13-52-37-180.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 3_Subt2__1__13-52-38-176.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 3_Subt2__2__13-52-39-182.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 3_Subt2__3__13-52-40-185.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 3_Subt2__4__13-52-41-179.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 3_Subt2__5__13-52-41-682.txt']"
4,60.0,150.0,51.02,121.43,127.55,1.0,2.38,2.5,B4,N1 R2,sample 4,"['N1_Sep/Data/20250917_N1R2/N1 R2 sample 4_Subt2__0__13-53-27-677.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 4_Subt2__1__13-53-28-678.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 4_Subt2__2__13-53-29-670.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 4_Subt2__3__13-53-30-678.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 4_Subt2__4__13-53-31-678.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 4_Subt2__5__13-53-32-678.txt']"
5,60.0,150.0,52.91,114.81,132.28,1.0,2.17,2.5,B5,N1 R2,sample 5,"['N1_Sep/Data/20250917_N1R2/N1 R2 sample 5_Subt2__0__13-54-37-177.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 5_Subt2__1__13-54-38-176.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 5_Subt2__2__13-54-39-177.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 5_Subt2__3__13-54-40-175.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 5_Subt2__4__13-54-41-168.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 5_Subt2__5__13-54-42-178.txt']"
6,60.0,150.0,52.91,114.81,132.28,1.0,2.17,2.5,B6,N1 R2,sample 6,"['N1_Sep/Data/20250917_N1R2/N1 R2 sample 6_Subt2__0__13-56-28-674.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 6_Subt2__1__13-56-29-674.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 6_Subt2__2__13-56-30-673.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 6_Subt2__3__13-56-31-673.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 6_Subt2__4__13-56-32-674.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 6_Subt2__5__13-56-33-674.txt']"
7,5.0,150.0,65.93,135.16,98.9,1.0,2.05,1.5,B7,N1 R2,sample 7,"['N1_Sep/Data/20250917_N1R2/N1 R2 sample 7_Subt2__0__12-58-36-751.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 7_Subt2__1__12-58-37-751.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 7_Subt2__2__12-58-38-738.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 7_Subt2__3__12-58-39-749.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 7_Subt2__4__12-58-40-254.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 7_Subt2__5__12-58-41-238.txt']"
8,5.0,150.0,65.93,135.16,98.9,1.0,2.05,1.5,B8,N1 R2,sample 8,"['N1_Sep/Data/20250917_N1R2/N1 R2 sample 8_Subt2__0__12-59-07-751.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 8_Subt2__1__12-59-03-751.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 8_Subt2__2__12-59-04-751.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 8_Subt2__3__12-59-05-737.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 8_Subt2__4__12-59-06-751.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 8_Subt2__5__12-59-02-737.txt']"
9,5.0,150.0,69.77,132.56,97.67,1.0,1.9,1.4,B9,N1 R2,sample 9,"['N1_Sep/Data/20250917_N1R2/N1 R2 sample 9_Subt2__0__12-59-25-750.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 9_Subt2__1__12-59-26-750.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 9_Subt2__2__12-59-27-750.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 9_Subt2__3__12-59-28-751.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 9_Subt2__4__12-59-29-751.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 9_Subt2__5__12-59-30-739.txt']"
10,5.0,150.0,69.77,132.56,97.67,1.0,1.9,1.4,B10,N1 R2,sample 10,"['N1_Sep/Data/20250917_N1R2/N1 R2 sample 10_Subt2__0__13-00-22-249.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 10_Subt2__1__13-00-23-248.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 10_Subt2__2__13-00-24-249.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 10_Subt2__3__13-00-25-249.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 10_Subt2__4__13-00-26-249.txt', 'N1_Sep/Data/20250917_N1R2/N1 R2 sample 10_Subt2__5__13-00-27-249.txt']"
