ID,well,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI
1,A1,5.0,60.0,109.1,54.5,136.4,1.0,0.5,1.25
2,A2,5.0,60.0,109.1,54.5,136.4,1.0,0.5,1.25
3,A3,5.0,60.0,85.7,85.7,128.6,1.0,1.0,1.5
4,A4,5.0,60.0,85.7,85.7,128.6,1.0,1.0,1.5
5,A5,30.0,60.0,109.1,54.5,136.4,1.0,0.5,1.25
6,A6,30.0,60.0,109.1,54.5,136.4,1.0,0.5,1.25
7,A7,30.0,60.0,85.7,85.7,128.6,1.0,1.0,1.5
8,A8,30.0,60.0,85.7,85.7,128.6,1.0,1.0,1.5
9,A9,60.0,60.0,109.1,54.5,136.4,1.0,0.5,1.25
10,A10,60.0,60.0,109.1,54.5,136.4,1.0,0.5,1.25
11,A11,60.0,60.0,85.7,85.7,128.6,1.0,1.0,1.5
12,A12,60.0,60.0,85.7,85.7,128.6,1.0,1.0,1.5
1,A1,5.0,105.0,109.1,54.5,136.4,1.0,0.5,1.25
2,A2,5.0,105.0,109.1,54.5,136.4,1.0,0.5,1.25
3,A3,5.0,105.0,85.7,85.7,128.6,1.0,1.0,1.5
4,A4,5.0,105.0,85.7,85.7,128.6,1.0,1.0,1.5
5,A5,30.0,105.0,109.1,54.5,136.4,1.0,0.5,1.25
6,A6,30.0,105.0,109.1,54.5,136.4,1.0,0.5,1.25
7,A7,30.0,105.0,85.7,85.7,128.6,1.0,1.0,1.5
8,A8,30.0,105.0,85.7,85.7,128.6,1.0,1.0,1.5
9,A9,60.0,105.0,109.1,54.5,136.4,1.0,0.5,1.25
10,A10,60.0,105.0,109.1,54.5,136.4,1.0,0.5,1.25
11,A11,60.0,105.0,85.7,85.7,128.6,1.0,1.0,1.5
12,A12,60.0,105.0,85.7,85.7,128.6,1.0,1.0,1.5
1,A1,5.0,150.0,109.1,54.5,136.4,1.0,0.5,1.25
2,A2,5.0,150.0,109.1,54.5,136.4,1.0,0.5,1.25
3,A3,5.0,150.0,85.7,85.7,128.6,1.0,1.0,1.5
4,A4,5.0,150.0,85.7,85.7,128.6,1.0,1.0,1.5
5,A5,30.0,150.0,109.1,54.5,136.4,1.0,0.5,1.25
6,A6,30.0,150.0,109.1,54.5,136.4,1.0,0.5,1.25
7,A7,30.0,150.0,85.7,85.7,128.6,1.0,1.0,1.5
8,A8,30.0,150.0,85.7,85.7,128.6,1.0,1.0,1.5
9,A9,60.0,150.0,109.1,54.5,136.4,1.0,0.5,1.25
10,A10,60.0,150.0,109.1,54.5,136.4,1.0,0.5,1.25
11,A11,60.0,150.0,85.7,85.7,128.6,1.0,1.0,1.5
12,A12,60.0,150.0,85.7,85.7,128.6,1.0,1.0,1.5
