ID,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,well
1,60.0,60.0,83.33,83.33,133.33,1.0,1.0,1.6,A1
2,60.0,60.0,83.33,83.33,133.33,1.0,1.0,1.6,A2
3,60.0,60.0,90.91,72.73,136.36,1.0,0.8,1.5,A3
4,60.0,60.0,90.91,72.73,136.36,1.0,0.8,1.5,A4
5,45.0,60.0,86.21,77.59,136.21,1.0,0.9,1.58,A5
6,45.0,60.0,86.21,77.59,136.21,1.0,0.9,1.58,A6
7,45.0,60.0,85.23,93.75,121.02,1.0,1.1,1.42,A7
8,45.0,60.0,85.23,93.75,121.02,1.0,1.1,1.42,A8
9,40.0,60.0,82.19,90.41,127.4,1.0,1.1,1.55,A9
10,40.0,60.0,82.19,90.41,127.4,1.0,1.1,1.55,A10
11,40.0,60.0,89.55,80.6,129.85,1.0,0.9,1.45,A11
12,40.0,60.0,89.55,80.6,129.85,1.0,0.9,1.45,A12
