ID,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,well
73,50.0,60.0,82.64,89.26,128.1,1.0,1.08,1.55,G1
74,50.0,60.0,82.64,89.26,128.1,1.0,1.08,1.55,G2
75,20.0,60.0,81.08,89.19,129.73,1.0,1.1,1.6,G3
76,20.0,60.0,81.08,89.19,129.73,1.0,1.1,1.6,G4
77,20.0,60.0,86.46,79.54,134.01,1.0,0.92,1.55,G5
78,20.0,60.0,86.46,79.54,134.01,1.0,0.92,1.55,G6
79,20.0,60.0,82.87,91.16,125.97,1.0,1.1,1.52,G7
80,20.0,60.0,82.87,91.16,125.97,1.0,1.1,1.52,G8
81,20.0,60.0,84.03,88.24,127.73,1.0,1.05,1.52,G9
82,20.0,60.0,84.03,88.24,127.73,1.0,1.05,1.52,G10
83,20.0,60.0,86.21,84.48,129.31,1.0,0.98,1.5,G11
84,20.0,60.0,86.21,84.48,129.31,1.0,0.98,1.5,G12
