Anneal Time,R PbI2,R BAAc,R MAI,Temperature,QW 2 mean,QW 2 var
5.0,1.0,0.5,1.25,60.0,0.0679231287740231,0.009227102844905048
5.0,1.0,1.0,1.5,60.0,0.4166590601484753,0.001260664811768502
30.0,1.0,0.5,1.25,60.0,0.2888965838879133,0.0031935707110744044
30.0,1.0,1.0,1.5,60.0,0.3746734572061423,0.011189183241469261
60.0,1.0,0.5,1.25,60.0,0.2347705695905093,0.0008404731328158833
60.0,1.0,1.0,1.5,60.0,0.4238290033563128,4.262627788664946e-05
5.0,1.0,0.5,1.25,105.0,0.0,0.0
5.0,1.0,1.0,1.5,105.0,0.36210615994898476,0.0031117621051381284
30.0,1.0,0.5,1.25,105.0,0.0,0.0
30.0,1.0,1.0,1.5,105.0,0.31745324785463547,0.0069519792659487115
60.0,1.0,0.5,1.25,105.0,0.0,0.0
60.0,1.0,1.0,1.5,105.0,0.29046936049713956,0.0014982335318134386
5.0,1.0,0.5,1.25,150.0,0.0,0.0
5.0,1.0,1.0,1.5,150.0,0.2754274353990688,0.002414460002447799
30.0,1.0,0.5,1.25,150.0,0.22508346327106166,0.0021331863619540384
30.0,1.0,1.0,1.5,150.0,0.2266166101667077,1.026436807715924e-05
60.0,1.0,0.5,1.25,150.0,0.1272998191700244,0.03241048792144182
60.0,1.0,1.0,1.5,150.0,0.3085600155088233,0.0006117002259407699
60.0,1.0,1.0,1.6,60.0,0.45531756414925517,9.818889227366176e-06
60.0,1.0,0.8,1.5,60.0,0.17194734623730795,0.004449175077644846
45.0,1.0,0.9,1.58,60.0,0.41927220642190366,0.005440331394446019
45.0,1.0,1.1,1.42,60.0,0.4493382358738379,0.01432095000923845
40.0,1.0,1.1,1.55,60.0,0.42553956071621024,0.008504629562256383
40.0,1.0,0.9,1.45,60.0,0.3874465929037833,7.021351342584111e-05
60.0,1.0,1.1,1.6,70.0,0.34861175623970686,0.0017299610301970958
40.0,1.0,1.08,1.6,70.0,0.4666743993400275,0.00015248702456823637
25.0,1.0,1.02,1.6,70.0,0.49207156582860845,0.0003621607381457239
5.0,1.0,1.1,1.6,70.0,0.4227127195636431,0.008942093151624862
5.0,1.0,0.85,1.6,70.0,0.3507977099501773,0.004798379459589819
5.0,1.0,1.1,1.2,70.0,0.0,0.0
35.0,1.0,1.08,1.6,60.0,0.46182408737213854,0.00040574012260268265
35.0,1.0,1.0,1.6,60.0,0.4648635673429796,0.000748116111223861
35.0,1.0,0.4,1.6,60.0,0.0,0.0
20.0,1.0,1.0,1.6,60.0,0.5722475320673177,0.0004687752066627053
5.0,1.0,0.4,1.6,60.0,0.0,0.0
5.0,1.0,0.4,1.35,60.0,0.0,0.0
60.0,1.0,0.5,1.58,150.0,0.1586687331430814,0.05035153375446075
60.0,1.0,0.62,1.52,150.0,0.17436624412868004,0.06080717418308489
60.0,1.0,0.7,1.45,150.0,0.1803417017353477,0.06504625876960221
60.0,1.0,0.7,1.3,150.0,0.0,0.0
60.0,1.0,0.9,1.2,150.0,0.0,0.0
60.0,1.0,0.75,1.2,150.0,0.0,0.0
55.0,1.0,0.98,1.6,80.0,0.3282012179983125,0.004643892984377751
30.0,1.0,0.92,1.6,80.0,0.3404271667953563,0.0006099229634573126
15.0,1.0,1.0,1.6,80.0,0.39506786494826973,0.003031958570001602
15.0,1.0,0.92,1.6,80.0,0.3710692827361809,0.0028687132259472186
5.0,1.0,1.02,1.6,80.0,0.406194202701502,0.0007854884091468214
5.0,1.0,0.98,1.6,80.0,0.5014758691479437,0.0009689639868556621
60.0,1.0,0.48,1.27,60.0,0.12482238203456547,0.031161254113566027
40.0,1.0,0.7,1.2,60.0,0.0,0.0
25.0,1.0,0.72,1.25,60.0,0.0,0.0
10.0,1.0,0.7,1.2,60.0,0.0,0.0
5.0,1.0,0.98,1.6,60.0,0.2688084999504929,0.00044213562026973214
5.0,1.0,0.95,1.6,60.0,0.38478707200329887,0.016028610978666515
40.0,1.0,1.1,1.6,125.0,0.21658116110866288,0.00019729117129274807
20.0,1.0,1.1,1.58,125.0,0.25054942363345456,0.00037443978474421586
20.0,1.0,1.1,1.48,125.0,0.3386402826710893,0.0005475746514676532
5.0,1.0,1.1,1.6,125.0,0.4394060953744807,0.0012199677962793525
5.0,1.0,1.05,1.6,125.0,0.2915679139014523,0.0015691693203492552
5.0,1.0,1.1,1.4,125.0,0.34840300651508527,0.0006490836568804534
60.0,1.0,0.4,1.45,150.0,0.0,0.0
60.0,1.0,0.42,1.35,150.0,0.0,0.0
60.0,1.0,0.4,1.2,150.0,0.0,0.0
45.0,1.0,0.4,1.55,150.0,0.0,0.0
40.0,1.0,0.5,1.2,150.0,0.12315743537475365,0.030335507776173245
25.0,1.0,0.42,1.2,150.0,0.10452142075900277,0.02184945479496099
60.0,1.0,1.05,1.35,60.0,0.22281953175537236,0.001341567634482125
60.0,1.0,1.1,1.2,60.0,0.21638078970935737,0.0007907263641709323
30.0,1.0,0.95,1.55,60.0,0.2215849680369688,0.00041306579994695194
25.0,1.0,0.98,1.58,60.0,0.3144141349519113,0.00014525623818295905
20.0,1.0,0.95,1.6,60.0,0.3670294035920594,0.005487078663003403
15.0,1.0,0.98,1.6,60.0,0.37425571337371827,0.0003442835305015284
35.0,1.0,0.98,1.68,65.0,0.41728079065671764,0.002359681845204172
25.0,1.0,1.27,1.45,65.0,0.5375432249798274,0.0030030178698824566
20.0,1.0,1.02,1.68,65.0,0.45466531480794015,0.006525343765590489
20.0,1.0,0.92,1.68,65.0,0.3687280381503926,0.0006325678107085414
15.0,1.0,1.1,1.65,65.0,0.3730285413346437,0.0004174359434547735
10.0,1.0,1.18,1.42,65.0,0.6205855479188798,0.00054517511352412
25.0,1.0,1.25,1.62,70.0,0.6124822499120391,2.4103907810884406e-06
20.0,1.0,1.2,1.55,70.0,0.5557211960709607,0.004767625360674764
20.0,1.0,1.15,1.5,70.0,0.20497462869873562,0.08402919682036906
20.0,1.0,1.18,1.45,70.0,0.5897181664204767,0.00017502148961015808
20.0,1.0,1.12,1.45,70.0,0.4644499667611472,0.0036439860015743276
15.0,1.0,1.2,1.4,70.0,0.5308892582447777,8.187725490637299e-05
30.0,1.0,1.25,1.68,85.0,0.37686683292672235,0.006930207266502116
30.0,1.0,1.3,1.62,85.0,0.40513884208540646,0.0006816222823699086
25.0,1.0,1.23,1.72,85.0,0.41826098699741154,0.0012424982691834538
25.0,1.0,1.42,1.6,85.0,0.48853452508071316,0.017765354689109093
25.0,1.0,1.23,1.6,85.0,0.431097893119157,0.0010304251591785145
10.0,1.0,1.38,1.45,85.0,0.5571500159843982,0.0008441130149811124
25.0,1.0,1.25,1.7,60.0,0.4833771446869165,0.008815761950098644
25.0,1.0,1.42,1.65,60.0,0.6093237897412385,0.00014629059070256326
25.0,1.0,1.27,1.65,60.0,0.4781499061853854,0.0485286334099317
25.0,1.0,1.25,1.6,60.0,0.4562298003475165,6.842810699188146e-05
20.0,1.0,1.23,1.55,60.0,0.38542562674184766,0.0034806418712014313
10.0,1.0,1.42,1.42,60.0,0.78864271720399,0.08934380198182505
25.0,1.0,1.18,1.65,70.0,0.5195012855378179,2.6815954125418464e-05
20.0,1.0,1.35,1.65,70.0,0.595054142296203,0.0042820737078868125
20.0,1.0,1.25,1.62,70.0,0.8185921478765043,0.06581761762412021
20.0,1.0,1.52,1.45,70.0,0.3953199095214872,0.00037157585687899557
15.0,1.0,1.32,1.48,70.0,0.38920991820689643,0.02157996050957852
15.0,1.0,1.4,1.45,70.0,0.6219027934343621,0.0014135903628269965
25.0,1.0,1.4,1.7,70.0,0.6206474581759753,8.146225440413854e-05
25.0,1.0,1.38,1.58,70.0,0.7807090358044635,0.09617705395561617
10.0,1.0,1.35,1.52,70.0,0.5696858480644784,0.00065758046944251
10.0,1.0,1.35,1.42,70.0,0.5608505377930727,0.0015990945370288447
10.0,1.0,1.38,1.35,70.0,0.3395852541516138,0.005215698381146333
5.0,1.0,1.32,1.45,70.0,0.5982154017447121,7.910485432136783e-06
