ID,well,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI
1,A1,5.0,60.0,109.1,54.5,136.4,1.0,0.5,1.25
2,A2,5.0,60.0,109.1,54.5,136.4,1.0,0.5,1.25
3,A3,5.0,60.0,85.7,85.7,128.6,1.0,1.0,1.5
4,A4,5.0,60.0,85.7,85.7,128.6,1.0,1.0,1.5
5,A5,30.0,60.0,109.1,54.5,136.4,1.0,0.5,1.25
6,A6,30.0,60.0,109.1,54.5,136.4,1.0,0.5,1.25
7,A7,30.0,60.0,85.7,85.7,128.6,1.0,1.0,1.5
8,A8,30.0,60.0,85.7,85.7,128.6,1.0,1.0,1.5
9,A9,60.0,60.0,109.1,54.5,136.4,1.0,0.5,1.25
10,A10,60.0,60.0,109.1,54.5,136.4,1.0,0.5,1.25
11,A11,60.0,60.0,85.7,85.7,128.6,1.0,1.0,1.5
12,A12,60.0,60.0,85.7,85.7,128.6,1.0,1.0,1.5
13,B1,60.0,60.0,83.33,83.33,133.33,1.0,1.0,1.6
14,B2,60.0,60.0,83.33,83.33,133.33,1.0,1.0,1.6
15,B3,60.0,60.0,90.91,72.73,136.36,1.0,0.8,1.5
16,B4,60.0,60.0,90.91,72.73,136.36,1.0,0.8,1.5
17,B5,45.0,60.0,86.21,77.59,136.21,1.0,0.9,1.58
18,B6,45.0,60.0,86.21,77.59,136.21,1.0,0.9,1.58
19,B7,45.0,60.0,85.23,93.75,121.02,1.0,1.1,1.42
20,B8,45.0,60.0,85.23,93.75,121.02,1.0,1.1,1.42
21,B9,40.0,60.0,82.19,90.41,127.4,1.0,1.1,1.55
22,B10,40.0,60.0,82.19,90.41,127.4,1.0,1.1,1.55
23,B11,40.0,60.0,89.55,80.6,129.85,1.0,0.9,1.45
24,B12,40.0,60.0,89.55,80.6,129.85,1.0,0.9,1.45
1,A1,60.0,60.0,83.33,83.33,133.33,1.0,1.0,1.6
2,A2,60.0,60.0,83.33,83.33,133.33,1.0,1.0,1.6
3,A3,60.0,60.0,90.91,72.73,136.36,1.0,0.8,1.5
4,A4,60.0,60.0,90.91,72.73,136.36,1.0,0.8,1.5
5,A5,45.0,60.0,86.21,77.59,136.21,1.0,0.9,1.58
6,A6,45.0,60.0,86.21,77.59,136.21,1.0,0.9,1.58
7,A7,45.0,60.0,85.23,93.75,121.02,1.0,1.1,1.42
8,A8,45.0,60.0,85.23,93.75,121.02,1.0,1.1,1.42
9,A9,40.0,60.0,82.19,90.41,127.4,1.0,1.1,1.55
10,A10,40.0,60.0,82.19,90.41,127.4,1.0,1.1,1.55
11,A11,40.0,60.0,89.55,80.6,129.85,1.0,0.9,1.45
12,A12,40.0,60.0,89.55,80.6,129.85,1.0,0.9,1.45
13,B1,60.0,70.0,81.08,89.19,129.73,1.0,1.1,1.6
14,B2,60.0,70.0,81.08,89.19,129.73,1.0,1.1,1.6
15,B3,40.0,70.0,81.52,88.04,130.43,1.0,1.08,1.6
16,B4,40.0,70.0,81.52,88.04,130.43,1.0,1.08,1.6
17,B5,25.0,70.0,82.87,84.53,132.6,1.0,1.02,1.6
18,B6,25.0,70.0,82.87,84.53,132.6,1.0,1.02,1.6
19,B7,5.0,70.0,81.08,89.19,129.73,1.0,1.1,1.6
20,B8,5.0,70.0,81.08,89.19,129.73,1.0,1.1,1.6
21,B9,5.0,70.0,86.96,73.91,139.13,1.0,0.85,1.6
22,B10,5.0,70.0,86.96,73.91,139.13,1.0,0.85,1.6
23,B11,5.0,70.0,90.91,100.0,109.09,1.0,1.1,1.2
24,B12,5.0,70.0,90.91,100.0,109.09,1.0,1.1,1.2
25,C1,35.0,60.0,81.52,88.04,130.43,1.0,1.08,1.6
26,C2,35.0,60.0,81.52,88.04,130.43,1.0,1.08,1.6
27,C3,35.0,60.0,83.33,83.33,133.33,1.0,1.0,1.6
28,C4,35.0,60.0,83.33,83.33,133.33,1.0,1.0,1.6
29,C5,35.0,60.0,100.0,40.0,160.0,1.0,0.4,1.6
