ID,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,well
37,10.0,60.0,56.07,140.19,103.74,1.0,2.5,1.85,H1
38,10.0,60.0,56.07,140.19,103.74,1.0,2.5,1.85,H2
39,5.0,150.0,65.93,135.16,98.9,1.0,2.05,1.5,H3
40,5.0,150.0,65.93,135.16,98.9,1.0,2.05,1.5,H4
41,5.0,150.0,69.77,132.56,97.67,1.0,1.9,1.4,H5
42,5.0,150.0,69.77,132.56,97.67,1.0,1.9,1.4,H6
37,5.0,150.0,88.24,70.59,141.18,1.0,0.8,1.6,H7
38,5.0,150.0,88.24,70.59,141.18,1.0,0.8,1.6,H8
39,5.0,150.0,88.76,69.23,142.01,1.0,0.78,1.6,H9
40,5.0,150.0,88.76,69.23,142.01,1.0,0.78,1.6,H10
41,5.0,150.0,93.17,67.08,139.75,1.0,0.72,1.5,H11
42,5.0,150.0,93.17,67.08,139.75,1.0,0.72,1.5,H12
