Anneal Time,Temperature,R BAAc,R MAI,QW 1,QW 2,QW 3,QW 4,QW 5,QW 6,QW 7,QW 8,QW 9,QW 10,QW 11,QW 12,QW 99,source,QW 1_std,QW 2_std,QW 3_std,QW 4_std,QW 5_std,QW 6_std,QW 7_std,QW 8_std,QW 9_std,QW 10_std,QW 11_std,QW 12_std,QW 99_std
60.0,60.0,0.675,1.325,0.0888739588458755,0.1064495529195784,0.2376463872929049,0.1723346593583386,0.0,0.1791557236916786,0.128855245741653,0.0803149482652288,0.1417436094568047,0.0806001968432381,0.0805168562465386,0.0876204829709904,0.0600115576940093,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,60.0,0.675,1.325,0.0713241410939152,0.1469709115808451,0.2594376970516881,0.1631850929795423,0.1492881973481945,0.1613721104937186,0.1588331607070077,0.0,0.1889310935429004,0.188854060319675,0.1531700529063077,0.1488365117500358,0.1552164957076195,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,60.0,0.675,1.325,0.082258467059028,0.0983486722762445,0.2107494264049128,0.1723855694020087,0.1540695502363939,0.1246226672663918,0.1200148893599611,0.1323834788311175,0.1322712474596594,0.1335619521485584,0.1500437980194021,0.1499529842689725,0.2394242342664075,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,60.0,0.675,1.325,0.0,0.3018985307704216,0.3395654767690153,0.2973304895478584,0.0,0.2632495439531291,0.2878741471333466,0.2874689938332977,0.0,0.0,0.0,0.3900948072979114,0.3936505370998521,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,60.0,0.675,1.325,0.1392926334874018,0.2129856883786943,0.3226207480935895,0.2377950793744888,0.0,0.1570698685726023,0.1276790926881424,0.1287125573863335,0.1285760573831298,0.1541107949388879,0.0,0.0,0.225542094326912,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,60.0,0.675,1.325,0.0,0.2434813446047189,0.3153940476483985,0.2197189062487747,0.1688278330354274,0.1400104641032288,0.1303835651790006,0.1303151004735089,0.1165505515156063,0.1164466974856706,0.1348555721097776,0.1347497495844235,0.1492146848039512,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,105.0,0.675,1.325,0.0,0.0,0.2209690189270429,0.3804298022539976,0.2945933955393101,0.0,0.2623922728057016,0.0,0.0,0.1863259044563754,0.1861815969629154,0.1961383456108289,0.2041980745850475,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,105.0,0.675,1.325,0.0,0.0,0.2443239180181519,0.3151475295457763,0.2415838540376413,0.2419459043282207,0.1859250896156503,0.1152342972855175,0.1813188333447467,0.1753241151162986,0.1194432322998747,0.1250716524073293,0.1428432915131087,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,105.0,0.675,1.325,0.0,0.0,0.1535510820885557,0.2880376731576975,0.273318404654041,0.2607340417448736,0.1854540948538289,0.1676237500208654,0.167524306060139,0.1169270116877794,0.1439864717927665,0.1416994601722059,0.1387974187317918,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,105.0,0.675,1.325,0.0,0.0,0.2063881248286921,0.3637593210273078,0.2528860476027824,0.0,0.1956976245833722,0.143424795338656,0.1669662503966193,0.1486646012213053,0.1428115275616448,0.1501169677999695,0.1561021550176519,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,105.0,0.675,1.325,0.0,0.1494067476454116,0.2204437408940862,0.3269430178336376,0.2903573359216868,0.2533804312463374,0.0,0.0,0.1802781562223502,0.1735134886713599,0.1498072333401789,0.1496595865064775,0.1456180395422226,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,105.0,0.675,1.325,0.0,0.2068284963943472,0.2819241743340348,0.4001448660553867,0.3332330510733982,0.3180820940161561,0.0,0.0,0.0,0.0,0.0,0.2413322932778663,0.2447285167660501,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,150.0,0.675,1.325,0.1357073658600081,0.0579951680790673,0.3108948783048144,0.1216765747193031,0.0576212999966791,0.0942208626769435,0.0775735485528971,0.1015209222105071,0.0839622870846088,0.1063450277084013,0.1062622746936477,0.1020486738211876,0.1171683604391656,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
